HL_to_IME,HL_to_JL,IME_to_JL,IME_to_LN,JL_to_LN,IME_to_SD,LN_to_JB,
853.9196598,2047.6,-2657.27125,5777.282857,2238.627143,3127.62,3000,
853.9196598,2047.6,-2657.27125,5777.282857,2238.627143,3013.36,3000,
853.9196598,2047.6,-2657.27125,5777.282857,2238.627143,2984.48,2989.268889,
853.9196598,2047.6,-2657.27125,5777.282857,2238.627143,2946.39,3000,
853.9196598,1917.81375,-2657.27125,5736.65625,2222.88625,2917.54,2914.808889,
814.9825681,1917.81375,-2608.492857,5435.961111,2106.37,2794.91,2733.868889,
814.9825681,1569.915714,-2608.492857,5435.961111,2106.37,2799.55,2392.758889,
729.8590674,1551.227143,-2353.666667,5416.643333,2098.883333,2772.08,2004.3375,
729.8590674,1551.227143,-2353.666667,5416.643333,2098.883333,2700.18,1905.4175,
729.8590674,1551.227143,-2353.666667,5416.643333,2098.883333,2594.67,1795.1875,
729.8590674,1551.227143,-2353.666667,5416.643333,2098.883333,2538.51,1761.3975,
729.8590674,1551.227143,-2353.666667,5416.643333,2098.883333,2501.66,1708.5375,
818.1628146,1551.227143,-2595.015714,5724.0625,2218.00375,2557.96,1753.8775,
856.6505306,1908.07875,-2645.27875,5724.0625,2218.00375,2681.91,2021.9575,
856.6505306,1908.07875,-2645.27875,5724.0625,2218.00375,2666.96,2109.1475,
856.6505306,1908.07875,-2645.27875,5765.442857,2234.041429,2911.78,2351.0575,
818.1628146,2041.022222,-2595.015714,5765.442857,2234.041429,3075.18,2628.4375,
818.1628146,2041.022222,-2595.015714,5724.0625,2218.00375,3159.94,2863.7375,
729.8590674,1908.07875,-2353.666667,5416.643333,2098.883333,3217.92,3000,
729.8590674,1908.07875,-2353.666667,5416.643333,2098.883333,3166.98,2880.2675,
729.8590674,1908.07875,-2353.666667,5724.0625,2218.00375,3192.98,2886.2175,
729.8590674,2041.022222,-2353.666667,5724.0625,2218.00375,3235.85,2951.6275,
818.1628146,2041.022222,-2595.015714,5724.0625,2218.00375,3235.85,2998.2175,
818.1628146,2041.022222,-2595.015714,5765.442857,2234.041429,3178.68,3000,
856.6505306,2041.022222,-2645.27875,5765.442857,2234.041429,3111.4,3000,
856.6505306,2041.022222,-2645.27875,5765.442857,2234.041429,2997.54,3000,
856.6505306,2041.022222,-2645.27875,5765.442857,2234.041429,2968.77,2955.4775,
856.6505306,2041.022222,-2645.27875,5765.442857,2234.041429,2930.82,2977.3775,
856.6505306,1908.07875,-2645.27875,5724.0625,2218.00375,2902.08,2881.7075,
818.1628146,1908.07875,-2595.015714,5416.643333,2098.883333,2779.88,2702.4475,
818.1628146,1551.227143,-2595.015714,5416.643333,2098.883333,2784.51,2364.4875,
734.8812471,1538.485714,-2338.433333,5407.337778,2095.277778,2760.26,1979.593043,
734.8812471,1538.485714,-2338.433333,5407.337778,2095.277778,2686.67,1881.153043,
734.8812471,1538.485714,-2338.433333,5407.337778,2095.277778,2578.69,1771.453043,
734.8812471,1538.485714,-2338.433333,5407.337778,2095.277778,2521.23,1737.823043,
734.8812471,1538.485714,-2338.433333,5407.337778,2095.277778,2492.53,1683.523043,
821.3684353,1538.485714,-2581.952857,5715.7125,2214.7725,2541.13,1730.343043,
858.8265715,1898.355,-2632.49,5715.7125,2214.7725,2667.98,1997.133043,
858.8265715,1898.355,-2632.49,5715.7125,2214.7725,2652.68,2083.903043,
858.8265715,1898.355,-2632.49,5755.152857,2230.051429,2903.22,2324.653043,
821.3684353,2032.543333,-2581.952857,5755.152857,2230.051429,3070.43,2600.703043,
821.3684353,2032.543333,-2581.952857,5715.7125,2214.7725,3157.18,2834.873043,
734.8812471,1898.355,-2338.433333,5407.337778,2095.277778,3216.51,3000,
734.8812471,1898.355,-2338.433333,5407.337778,2095.277778,3164.38,2851.323043,
734.8812471,1898.355,-2338.433333,5715.7125,2214.7725,3190.99,2857.243043,
734.8812471,2032.543333,-2338.433333,5715.7125,2214.7725,3241.5,2922.333043,
821.3684353,2032.543333,-2581.952857,5715.7125,2214.7725,3239.16,2968.703043,
821.3684353,2032.543333,-2581.952857,5755.152857,2230.051429,3176.35,2999.733043,
858.8265715,2032.543333,-2632.49,5755.152857,2230.051429,3107.5,2986.353043,
858.8265715,2032.543333,-2632.49,5755.152857,2230.051429,2990.99,2986.423043,
858.8265715,2032.543333,-2632.49,5755.152857,2230.051429,2961.54,2926.163043,
858.8265715,2032.543333,-2632.49,5755.152857,2230.051429,2922.7,2947.963043,
858.8265715,1898.355,-2632.49,5715.7125,2214.7725,2893.29,2852.753043,
821.3684353,1898.355,-2581.952857,5407.337778,2095.277778,2768.24,2674.353043,
821.3684353,1538.485714,-2581.952857,5407.337778,2095.277778,2772.98,2338.023043,
740.4101669,1546.314286,-2335.134444,5419.437778,2099.966667,2760.08,1965.267391,
740.4101669,1546.314286,-2335.134444,5419.437778,2099.966667,2686.64,1868.877391,
740.4101669,1546.314286,-2335.134444,5419.437778,2099.966667,2578.88,1761.467391,
740.4101669,1546.314286,-2335.134444,5419.437778,2099.966667,2521.53,1728.537391,
740.4101669,1546.314286,-2335.134444,5419.437778,2099.966667,2503.6,1669.457391,
823.9864374,1546.314286,-2565.115714,5716.9325,2215.2425,2541.4,1721.207391,
860.1360582,1885.67,-2612.38125,5716.9325,2215.2425,2667.99,1982.437391,
860.1360582,1885.67,-2612.38125,5716.9325,2215.2425,2652.72,2067.397391,
860.1360582,1885.67,-2612.38125,5754.527143,2229.808571,2902.75,2303.127391,
823.9864374,2012.531111,-2565.115714,5754.527143,2229.808571,3069.63,2573.427391,
823.9864374,2012.531111,-2565.115714,5716.9325,2215.2425,3156.2,2802.707391,
740.4101669,1885.67,-2335.134444,5419.437778,2099.966667,3215.41,3000,
740.4101669,1885.67,-2335.134444,5419.437778,2099.966667,3163.39,2818.817391,
740.4101669,1885.67,-2335.134444,5716.9325,2215.2425,3189.94,2824.617391,
740.4101669,2012.531111,-2335.134444,5716.9325,2215.2425,3253.29,2888.347391,
823.9864374,2012.531111,-2565.115714,5716.9325,2215.2425,3238.01,2933.757391,
823.9864374,2012.531111,-2565.115714,5754.527143,2229.808571,3175.34,2964.137391,
860.1360582,2012.531111,-2612.38125,5754.527143,2229.808571,3106.62,2951.037391,
860.1360582,2012.531111,-2612.38125,5754.527143,2229.808571,2990.34,2951.097391,
860.1360582,2012.531111,-2612.38125,5754.527143,2229.808571,2960.96,2892.107391,
860.1360582,2012.531111,-2612.38125,5754.527143,2229.808571,2922.19,2913.447391,
860.1360582,1885.67,-2612.38125,5716.9325,2215.2425,2892.84,2820.217391,
823.9864374,1885.67,-2565.115714,5419.437778,2099.966667,2768.05,2645.537391,
823.9864374,1546.314286,-2565.115714,5419.437778,2099.966667,2772.77,2316.217391,
740.3666055,1543.548571,-2327.325556,5408.454444,2095.71,2768.04,1954.976957,
740.3666055,1543.548571,-2327.325556,5408.454444,2095.71,2697.15,1860.916957,
740.3666055,1543.548571,-2327.325556,5408.454444,2095.71,2593.14,1756.096957,
740.3666055,1543.548571,-2327.325556,5408.454444,2095.71,2537.79,1723.966957,
740.3666055,1543.548571,-2327.325556,5408.454444,2095.71,2521.59,1664.956957,
823.2538513,1543.548571,-2553.482857,5706.9075,2211.35875,2556.96,1716.816957,
859.1566314,1876.905,-2599.6275,5706.9075,2211.35875,2679.15,1971.736957,
859.1566314,1876.905,-2599.6275,5706.9075,2211.35875,2664.41,2054.646957,
859.1566314,1876.905,-2599.6275,5745.294286,2226.231429,2905.75,2284.676957,
823.2538513,2001.747778,-2553.482857,5745.294286,2226.231429,3066.83,2548.446957,
823.2538513,2001.747778,-2553.482857,5706.9075,2211.35875,3150.39,2772.196957,
740.3666055,1876.905,-2327.325556,5408.454444,2095.71,3207.54,3000,
740.3666055,1876.905,-2327.325556,5408.454444,2095.71,3157.33,2787.916957,
740.3666055,1876.905,-2327.325556,5706.9075,2211.35875,3182.96,2793.576957,
740.3666055,2001.747778,-2327.325556,5706.9075,2211.35875,3245.44,2855.766957,
823.2538513,2001.747778,-2553.482857,5706.9075,2211.35875,3229.36,2900.076957,
823.2538513,2001.747778,-2553.482857,5745.294286,2226.231429,3168.86,2929.726957,
859.1566314,2001.747778,-2599.6275,5745.294286,2226.231429,3102.54,2916.936957,
859.1566314,2001.747778,-2599.6275,5745.294286,2226.231429,2990.3,2917.006957,
859.1566314,2001.747778,-2599.6275,5745.294286,2226.231429,2961.94,2859.426957,
859.1566314,2001.747778,-2599.6275,5745.294286,2226.231429,2924.52,2880.256957,
859.1566314,1876.905,-2599.6275,5706.9075,2211.35875,2896.19,2789.286957,
823.2538513,1876.905,-2553.482857,5408.454444,2095.71,2775.73,2618.816957,
823.2538513,1543.548571,-2553.482857,5408.454444,2095.71,2780.3,2297.456957,
735.3848287,1538.831429,-2322.518889,5416.79,2098.942222,2768.79,1949.920435,
735.3848287,1538.831429,-2322.518889,5416.79,2098.942222,2699.37,1858.430435,
735.3848287,1538.831429,-2322.518889,5416.79,2098.942222,2597.51,1756.470435,
735.3848287,1538.831429,-2322.518889,5416.79,2098.942222,2543.3,1725.210435,
735.3848287,1538.831429,-2322.518889,5416.79,2098.942222,2523.76,1662.320435,
820.5878621,1538.831429,-2549.714286,5706.85125,2211.335,2562.08,1718.260435,
857.6689035,1874.80375,-2597.075,5706.85125,2211.335,2681.74,1966.220435,
857.6689035,1874.80375,-2597.075,5706.85125,2211.335,2667.31,2046.860435,
857.6689035,1874.80375,-2597.075,5745.942857,2226.482857,2903.66,2270.610435,
820.5878621,1999.931111,-2549.714286,5745.942857,2226.482857,3061.4,2527.170435,
820.5878621,1999.931111,-2549.714286,5706.85125,2211.335,3143.23,2744.810435,
735.3848287,1874.80375,-2322.518889,5416.79,2098.942222,3199.2,3000,
735.3848287,1874.80375,-2322.518889,5416.79,2098.942222,3150.03,2760.100435,
735.3848287,1874.80375,-2322.518889,5706.85125,2211.335,3175.12,2765.600435,
735.3848287,1999.931111,-2322.518889,5706.85125,2211.335,3231.88,2826.100435,
820.5878621,1999.931111,-2549.714286,5706.85125,2211.335,3220.56,2869.200435,
820.5878621,1999.931111,-2549.714286,5745.942857,2226.482857,3161.32,2898.040435,
857.6689035,1999.931111,-2597.075,5745.942857,2226.482857,3096.37,2885.600435,
